index,Unnamed: 0,timestamp,fps,fails,edge_preprocess_time,edge_inf_time,mobile_preprocess_time,mobile_inf_time,comm_time,end_to_end_latency,jpeg_compression,type,other_clients,position,energon_network_quality_wlan0_signal_level_dBm,energon_network_metrics_wlan0_rx_dropped,energon_gpu_total_usage_percentage,energon_network_metrics_wlan0_rx_errors,energon_network_quality_wlan0_bit_rate_Mbs,energon_network_metrics_wlan0_tx_packets,energon_network_metrics_wlan0_tx_errors,energon_network_metrics_wlan0_rx_packets,energon_cpu_in_power_mW,energon_network_metrics_wlan0_tx_bytes,energon_ram_used_percentage,energon_network_metrics_wlan0_rx_bytes,energon_network_metrics_wlan0_tx_dropped,energon_cpu_total_usage_percentage,energon_total_in_power_mW,energon_network_quality_wlan0_link_quality_x_over_70,energon_gpu_in_power_mW
24.0,24,1690668685.1382616,9.71386050499999,0.0,0.0013754367828369,0.0295624732971191,0.0234014987945556,0.0015943050384521,0.01,0.0423879718780518,-1,split,0,1,-55.0,0.0,0.0,0.0,144.4,57561.0,0.0,27471.0,3037.0,66599283.0,12.599999605815793,2486963.0,0.0,68.98263027295286,5389.0,55.0,644.0
25.0,25,1690668685.2345726,9.739544032836362,0.0,0.0011568069458007,0.0282220840454101,0.0340044498443603,0.0022611618041992,0.01,0.049820909500122,-1,split,0,1,-55.0,0.0,0.0,0.0,144.4,57561.0,0.0,27471.0,3037.0,66599283.0,12.599999605815793,2486963.0,0.0,68.98263027295286,5389.0,55.0,644.0
26.0,26,1690668685.3214653,9.805134273438846,0.0,0.0011427402496337,0.0280804634094238,0.0245807170867919,0.0015285015106201,0.01,0.03980113029479981,-1,split,0,1,-55.0,0.0,0.0,0.0,144.4,57561.0,0.0,27471.0,3037.0,66599283.0,12.599999605815793,2486963.0,0.0,68.98263027295286,5389.0,55.0,644.0
27.0,27,1690668685.432404,9.776840020774712,0.0,0.0011329650878906,0.0277717113494873,0.0420343875885009,0.0056226253509521,0.01,0.06528759956359859,-1,split,0,1,-55.0,0.0,0.0,0.0,144.4,57561.0,0.0,27471.0,3037.0,66599283.0,12.599999605815793,2486963.0,0.0,68.98263027295286,5389.0,55.0,644.0
28.0,28,1690668685.5425136,9.752878683839128,0.0,0.0011887550354003,0.0274000167846679,0.0388624668121337,0.0019037723541259,0.01,0.0650336837768555,-1,split,0,1,-55.0,0.0,0.0,0.0,144.4,57561.0,0.0,27471.0,3037.0,66599283.0,12.599999605815793,2486963.0,0.0,68.98263027295286,5389.0,55.0,644.0
29.0,29,1690668685.652396,9.731163141635554,0.0,0.001143455505371,0.0287649631500244,0.041410207748413,0.0021309852600097,0.01,0.058489093780517594,-1,split,0,1,-55.0,0.0,0.0,0.0,144.4,57561.0,0.0,27471.0,3037.0,66599283.0,12.599999605815793,2486963.0,0.0,68.98263027295286,5389.0,55.0,644.0
30.0,30,1690668685.764187,10.029241824499689,0.0,0.001115083694458,0.0294644832611084,0.0354478359222412,0.0020222663879394,0.01,0.06468273162841799,-1,split,0,1,-55.0,0.0,0.0,0.0,144.4,57561.0,0.0,27471.0,3037.0,66599283.0,12.599999605815793,2486963.0,0.0,68.98263027295286,5389.0,55.0,644.0
31.0,31,1690668685.8648553,10.077503493538629,0.0,0.0011496543884277,0.0280952453613281,0.0363695621490478,0.0016384124755859,0.01,0.0554604625701904,-1,split,0,1,-55.0,0.0,0.0,0.0,144.4,57561.0,0.0,27471.0,3037.0,66599283.0,12.599999605815793,2486963.0,0.0,68.98263027295286,5389.0,55.0,644.0
32.0,32,1690668685.9476025,10.14345821939858,0.0,0.0011868476867675,0.0277633666992187,0.0251336097717285,0.0014979839324951,0.01,0.0400526618957519,-1,split,0,1,-55.0,0.0,0.0,0.0,144.4,57561.0,0.0,27471.0,3037.0,66599283.0,12.599999605815793,2486963.0,0.0,68.98263027295286,5389.0,55.0,644.0
33.0,33,1690668686.029375,10.293645972629305,0.0,0.001082420349121,0.0249629020690917,0.0273089408874511,0.0015029907226562,0.01,0.0423967933654785,-1,split,0,1,-55.0,0.0,0.0,0.0,144.4,57561.0,0.0,27471.0,3037.0,66599283.0,12.599999605815793,2486963.0,0.0,68.98263027295286,5389.0,55.0,644.0
