timestamp,fps,fails,edge_preprocess_time,edge_inf_time,mobile_preprocess_time,mobile_inf_time,comm_time,end_to_end_latency,jpeg_compression,type,other_clients,position
1690669541.777503,9.703821061511942,0.0,0.009671449661254883,0.06360101699829102,0.0058460235595703125,-1,0.09694886207580566,0.10799145698547363,50,edge,0,3/7
1690669541.9048266,9.647038546875201,0.0,0.008914470672607422,0.06415939331054688,0.006176471710205078,-1,0.1161661148071289,0.12728142738342285,50,edge,0,3/7
1690669542.0135882,9.619093464293325,0.0,0.009264945983886719,0.061631202697753906,0.006226778030395508,-1,0.0991055965423584,0.10880184173583984,50,edge,0,3/7
1690669542.1221914,9.62402230771769,0.0,0.009995222091674805,0.06144118309020996,0.006106138229370117,-1,0.09650087356567383,0.10860800743103027,50,edge,0,3/7
1690669542.2370582,9.61289452338043,0.0,0.009540557861328125,0.06649112701416016,0.008483171463012695,-1,0.09798860549926758,0.11484217643737793,50,edge,0,3/7
1690669542.3490217,9.602889755706643,0.0,0.016649246215820312,0.06124567985534668,0.005854368209838867,-1,0.09714913368225098,0.11198902130126953,50,edge,0,3/7
1690669542.455192,9.599912943531903,0.0,0.009495258331298828,0.06215953826904297,0.005776166915893555,-1,0.08998250961303711,0.10617613792419434,50,edge,0,3/7
1690669542.553565,9.62380013291251,0.0,0.009505271911621094,0.0599215030670166,0.005984783172607422,-1,0.08682084083557129,0.09833216667175293,50,edge,0,3/7
1690669542.6477737,9.689324862882232,0.0,0.008141040802001953,0.059766292572021484,0.006126880645751953,-1,0.08580660820007324,0.09424901008605957,50,edge,0,3/7
1690669542.7502477,9.699765089168604,0.0,0.008702754974365234,0.06156754493713379,0.0058286190032958984,-1,0.09142637252807617,0.10247635841369629,50,edge,0,3/7
1690669542.8595815,9.69467567662537,0.0,0.00939488410949707,0.06305646896362305,0.0061664581298828125,-1,0.10080122947692871,0.1093299388885498,50,edge,0,3/7
1690669542.961462,9.698511285078943,0.0,0.009979963302612305,0.06344819068908691,0.006157875061035156,-1,0.09336686134338379,0.10181093215942383,50,edge,0,3/7
1690669543.0578916,9.718438985800818,0.0,0.010462045669555664,0.05981326103210449,0.006113767623901367,-1,0.08791494369506836,0.09650397300720215,50,edge,0,3/7
1690669543.1498523,9.75547029345685,0.0,0.006247997283935547,0.05996823310852051,0.006158590316772461,-1,0.08349776268005371,0.09196352958679199,50,edge,0,3/7
1690669543.2419953,9.793627805824437,0.0,0.006697654724121094,0.06053042411804199,0.006173849105834961,-1,0.08363676071166992,0.09214043617248535,50,edge,0,3/7
1690669543.3393521,9.808817860458108,0.0,0.007725238800048828,0.0596315860748291,0.006062746047973633,-1,0.08833527565002441,0.09734296798706055,50,edge,0,3/7
1690669543.4459383,9.782263146988964,0.0,0.00920557975769043,0.06143498420715332,0.00882101058959961,-1,0.08952903747558594,0.10659265518188477,50,edge,0,3/7
1690669543.5537071,9.781779249855706,0.0,0.009841680526733398,0.06086850166320801,0.00824880599975586,-1,0.09005618095397949,0.10776424407958984,50,edge,0,3/7
1690669543.6555429,9.805277870631688,0.0,0.010786294937133789,0.06039094924926758,0.00594639778137207,-1,0.08881664276123047,0.10184574127197266,50,edge,0,3/7
1690669543.7659647,9.799196632512245,0.0,0.009635210037231445,0.06108260154724121,0.008347272872924805,-1,0.09032058715820312,0.11041092872619629,50,edge,0,3/7
1690669543.869365,9.793681829907303,0.0,0.009796857833862305,0.06088423728942871,0.0058629512786865234,-1,0.08938050270080566,0.10341191291809082,50,edge,0,3/7
1690669543.9726455,9.787358041706366,0.0,0.009441852569580078,0.060337066650390625,0.005805492401123047,-1,0.08865976333618164,0.10328245162963867,50,edge,0,3/7
1690669544.073991,9.771492682241853,0.0,0.009040117263793945,0.06178617477416992,0.005799531936645508,-1,0.08826565742492676,0.10134673118591309,50,edge,0,3/7
1690669544.1714787,9.765388702468666,0.0,0.008252143859863281,0.06110501289367676,0.005795955657958984,-1,0.08654141426086426,0.09748435020446777,50,edge,0,3/7
1690669544.2855542,9.73111645876398,0.0,0.009563922882080078,0.06149864196777344,0.005779743194580078,-1,0.10098028182983398,0.11407709121704102,50,edge,0,3/7
1690669544.386876,9.7348837351692,0.0,0.009853363037109375,0.06034541130065918,0.006036281585693359,-1,0.0880577564239502,0.10132336616516113,50,edge,0,3/7
1690669544.485331,9.692114985659819,0.0,0.009702682495117188,0.05966329574584961,0.005950927734375,-1,0.08731365203857422,0.09844732284545898,50,edge,0,3/7
1690669544.592012,9.63285943979967,0.0,0.009500980377197266,0.061377763748168945,0.007323026657104492,-1,0.0889747142791748,0.10668730735778809,50,edge,0,3/7
1690669544.6899335,9.647092103129324,0.0,0.009079217910766602,0.060442447662353516,0.005811214447021484,-1,0.08699250221252441,0.09792041778564453,50,edge,0,3/7
1690669544.8004284,9.62940660659528,0.0,0.0074121952056884766,0.06518101692199707,0.0057833194732666016,-1,0.0993962287902832,0.11049938201904297,50,edge,0,3/7
1690669544.8989625,9.659074302714275,0.0,0.007476806640625,0.05983757972717285,0.005785226821899414,-1,0.08753132820129395,0.09852194786071777,50,edge,0,3/7
