Unnamed: 0,timestamp,fps,fails,edge_preprocess_time,edge_inf_time,mobile_preprocess_time,mobile_inf_time,comm_time,end_to_end_latency,jpeg_compression,type,other_clients,position,energon_network_quality_wlan0_signal_level_dBm,energon_network_metrics_wlan0_rx_dropped,energon_gpu_total_usage_percentage,energon_network_metrics_wlan0_rx_errors,energon_network_quality_wlan0_bit_rate_Mbs,energon_network_metrics_wlan0_tx_packets,energon_network_metrics_wlan0_tx_errors,energon_network_metrics_wlan0_rx_packets,energon_cpu_in_power_mW,energon_network_metrics_wlan0_tx_bytes,energon_ram_used_percentage,energon_network_metrics_wlan0_rx_bytes,energon_network_metrics_wlan0_tx_dropped,energon_cpu_total_usage_percentage,energon_total_in_power_mW,energon_network_quality_wlan0_link_quality_x_over_70,energon_gpu_in_power_mW
24,1690668209.1774547,5.758748511146532,0.04,0.0174238681793212,0.0655744075775146,0.008432388305664,-1,0.02,0.03621794700622562,100,edge,0,1,-54.0,0.0,0.0,0.0,144.4,3041.0,0.0,1926.0,2661.0,2674638.0,12.68169428255518,175410.0,0.0,54.862842892768086,4326.0,56.0,114.0
25,1690668209.339126,5.775174483033863,0.0384615384615384,0.0168876647949218,0.0654973983764648,0.0082252025604248,-1,0.25,0.2676641941070556,100,edge,0,1,-54.0,0.0,0.0,0.0,144.4,3041.0,0.0,1926.0,2661.0,2674638.0,12.68169428255518,175410.0,0.0,54.862842892768086,4326.0,56.0,114.0
26,1690668209.4911537,5.804856818459313,0.037037037037037,0.015308141708374,0.0621259212493896,0.0081396102905273,-1,0.02,0.033479232788086,100,edge,0,1,-54.0,0.0,0.0,0.0,144.4,3041.0,0.0,1926.0,2661.0,2674638.0,12.68169428255518,175410.0,0.0,54.862842892768086,4326.0,56.0,114.0
27,1690668209.6463485,5.827684479578465,0.0357142857142857,0.0164215564727783,0.0647115707397461,0.0080978870391845,-1,0.02,0.03255440711975101,100,edge,0,1,-54.0,0.0,0.0,0.0,144.4,3041.0,0.0,1926.0,2661.0,2674638.0,12.68169428255518,175410.0,0.0,54.862842892768086,4326.0,56.0,114.0
28,1690668209.8072343,5.841041108180776,0.0344827586206896,0.016664981842041,0.0648994445800781,0.0080955028533935,-1,0.02,0.033269901275634686,100,edge,0,1,-54.0,0.0,0.0,0.0,144.4,3041.0,0.0,1926.0,2661.0,2674638.0,12.68169428255518,175410.0,0.0,54.862842892768086,4326.0,56.0,114.0
29,1690668209.9630527,5.860264877696551,0.0333333333333333,0.0167610645294189,0.0653119087219238,0.008080244064331,-1,0.03,0.042536764144897404,100,edge,0,1,-54.0,0.0,0.0,0.0,144.4,3041.0,0.0,1926.0,2661.0,2674638.0,12.68169428255518,175410.0,0.0,54.862842892768086,4326.0,56.0,114.0
30,1690668210.1229117,6.06844796418905,0.0,0.0163681507110595,0.0660412311553955,0.0081644058227539,-1,0.02,0.03336359977722171,100,edge,0,1,-54.0,0.0,0.0,0.0,144.4,3041.0,0.0,1926.0,2661.0,2674638.0,12.68169428255518,175410.0,0.0,54.862842892768086,4326.0,56.0,114.0
31,1690668210.2766287,6.177765393116056,0.0,0.0169565677642822,0.0656814575195312,0.0081477165222167,-1,0.02,0.033268232345581114,100,edge,0,1,-54.0,0.0,0.0,0.0,144.4,3041.0,0.0,1926.0,2661.0,2674638.0,12.68169428255518,175410.0,0.0,54.862842892768086,4326.0,56.0,114.0
32,1690668210.4431329,6.144176961854489,0.0,0.0166683197021484,0.0667850971221923,0.0081677436828613,-1,0.02,0.0333657455444336,100,edge,0,1,-52.0,0.0,0.0,0.0,144.4,3914.0,0.0,2161.0,2652.0,3960412.0,12.678245170750744,193831.0,0.0,55.4726368159204,4357.0,58.0,113.0
33,1690668210.6123686,6.133062065672783,0.0,0.0160503387451171,0.0654983520507812,0.008291482925415,-1,0.02,0.03868820190429682,100,edge,0,1,-52.0,0.0,0.0,0.0,144.4,3914.0,0.0,2161.0,2652.0,3960412.0,12.678245170750744,193831.0,0.0,55.4726368159204,4357.0,58.0,113.0
34,1690668210.7715774,6.183087548752308,0.0,0.0168519020080566,0.065615177154541,0.009451150894165,-1,0.02,0.04002048492431641,100,edge,0,1,-52.0,0.0,0.0,0.0,144.4,3914.0,0.0,2161.0,2652.0,3960412.0,12.678245170750744,193831.0,0.0,55.4726368159204,4357.0,58.0,113.0
35,1690668210.9405112,6.158696259140215,0.0,0.0172817707061767,0.0656061172485351,0.0159995555877685,-1,0.02,0.04033638954162601,100,edge,0,1,-52.0,0.0,0.0,0.0,144.4,3914.0,0.0,2161.0,2652.0,3960412.0,12.678245170750744,193831.0,0.0,55.4726368159204,4357.0,58.0,113.0
36,1690668211.1142828,6.164868402453177,0.0,0.0160527229309082,0.0653188228607177,0.0080981254577636,-1,0.02,0.036134023666381895,100,edge,0,1,-52.0,0.0,0.0,0.0,144.4,3914.0,0.0,2161.0,2652.0,3960412.0,12.678245170750744,193831.0,0.0,55.4726368159204,4357.0,58.0,113.0
37,1690668211.249852,6.196633972780768,0.0,0.004551887512207,0.0597255229949951,0.0080375671386718,-1,0.02,0.0331912231445312,100,edge,0,1,-52.0,0.0,0.0,0.0,144.4,3914.0,0.0,2161.0,2652.0,3960412.0,12.678245170750744,193831.0,0.0,55.4726368159204,4357.0,58.0,113.0
38,1690668211.4108176,6.190519376286469,0.0,0.0163459777832031,0.0638911724090576,0.0081970691680908,-1,0.02,0.0334036540985108,100,edge,0,1,-52.0,0.0,0.0,0.0,144.4,4929.0,0.0,2437.0,2808.0,5387063.0,12.520670034313737,215029.0,0.0,55.58312655086849,4592.0,58.0,151.0
39,1690668211.5578184,6.211758920394555,0.0,0.0156672000885009,0.0617504119873046,0.0082743167877197,-1,0.02,0.0335581493377685,100,edge,0,1,-52.0,0.0,0.0,0.0,144.4,4929.0,0.0,2437.0,2808.0,5387063.0,12.520670034313737,215029.0,0.0,55.58312655086849,4592.0,58.0,151.0
40,1690668211.7074726,6.21572541551336,0.0,0.015942096710205,0.0624120235443115,0.0082132816314697,-1,0.02,0.03338744163513181,100,edge,0,1,-52.0,0.0,0.0,0.0,144.4,4929.0,0.0,2437.0,2808.0,5387063.0,12.520670034313737,215029.0,0.0,55.58312655086849,4592.0,58.0,151.0
41,1690668211.8633687,6.244155425617887,0.0,0.0163466930389404,0.0642054080963134,0.0081355571746826,-1,0.02,0.0333309364318848,100,edge,0,1,-52.0,0.0,0.0,0.0,144.4,4929.0,0.0,2437.0,2808.0,5387063.0,12.520670034313737,215029.0,0.0,55.58312655086849,4592.0,58.0,151.0
42,1690668212.031191,6.219799532741876,0.0,0.0167443752288818,0.0655970573425293,0.0085642337799072,-1,0.02,0.0345823955535889,100,edge,0,1,-52.0,0.0,0.0,0.0,144.4,4929.0,0.0,2437.0,2808.0,5387063.0,12.520670034313737,215029.0,0.0,55.58312655086849,4592.0,58.0,151.0
43,1690668212.193073,6.2153324470061735,0.0,0.0166199207305908,0.0659992694854736,0.0128085613250732,-1,0.02,0.04270126342773441,100,edge,0,1,-52.0,0.0,0.0,0.0,144.4,4929.0,0.0,2437.0,2808.0,5387063.0,12.520670034313737,215029.0,0.0,55.58312655086849,4592.0,58.0,151.0
44,1690668212.3663516,6.183797816232691,0.0,0.0161216259002685,0.0657610893249511,0.01123046875,-1,0.02,0.0418496322631836,100,edge,0,1,-52.0,0.0,0.0,0.0,144.4,4929.0,0.0,2437.0,2808.0,5387063.0,12.520670034313737,215029.0,0.0,55.58312655086849,4592.0,58.0,151.0
